cbsatitle,gdp,year
"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",21555.1,2013
"Springfield, IL (Metropolitan Statistical Area)",9390.9,2013
"Springfield, MA (Metropolitan Statistical Area)",24688.8,2013
"Springfield, MO (Metropolitan Statistical Area)",16529.4,2013
"Springfield, OH (Metropolitan Statistical Area)",4094.6,2013
"State College, PA (Metropolitan Statistical Area)",7836.5,2013
"Staunton-Waynesboro, VA (Metropolitan Statistical Area)",4558.4,2013
"Stockton-Lodi, CA (Metropolitan Statistical Area)",22691.8,2013
"Sumter, SC (Metropolitan Statistical Area)",3521.8,2013
"Syracuse, NY (Metropolitan Statistical Area)",30428.3,2013
"Tallahassee, FL (Metropolitan Statistical Area)",14145.5,2013
"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",125706.3,2013
"Terre Haute, IN (Metropolitan Statistical Area)",6418.2,2013
"Texarkana, TX-AR (Metropolitan Statistical Area)",4876.6,2013
"The Villages, FL (Metropolitan Statistical Area)",2146,2013
"Toledo, OH (Metropolitan Statistical Area)",30542.3,2013
"Topeka, KS (Metropolitan Statistical Area)",9818.6,2013
"Trenton, NJ (Metropolitan Statistical Area)",28719.1,2013
"Tucson, AZ (Metropolitan Statistical Area)",36146.6,2013
"Tulsa, OK (Metropolitan Statistical Area)",62959.2,2013
"Tuscaloosa, AL (Metropolitan Statistical Area)",11210.5,2013
"Twin Falls, ID (Metropolitan Statistical Area)",3649.7,2013
"Tyler, TX (Metropolitan Statistical Area)",15001.1,2013
"Urban Honolulu, HI (Metropolitan Statistical Area)",57314.7,2013
"Utica-Rome, NY (Metropolitan Statistical Area)",10309.2,2013
"Valdosta, GA (Metropolitan Statistical Area)",4529.3,2013
"Vallejo-Fairfield, CA (Metropolitan Statistical Area)",19669.5,2013
"Victoria, TX (Metropolitan Statistical Area)",5416.3,2013
"Vineland-Bridgeton, NJ (Metropolitan Statistical Area)",5280.9,2013
"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)",85414.4,2013
"Visalia-Porterville, CA (Metropolitan Statistical Area)",14185.7,2013
"Waco, TX (Metropolitan Statistical Area)",10294.7,2013
"Walla Walla, WA (Metropolitan Statistical Area)",2695.4,2013
"Warner Robins, GA (Metropolitan Statistical Area)",6537.5,2013
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",459268.5,2013
"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)",8600.8,2013
"Watertown-Fort Drum, NY (Metropolitan Statistical Area)",6384.3,2013
"Wausau, WI (Metropolitan Statistical Area)",6790.5,2013
"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)",4000.7,2013
"Wenatchee, WA (Metropolitan Statistical Area)",4161,2013
"Wheeling, WV-OH (Metropolitan Statistical Area)",6911.8,2013
"Wichita, KS (Metropolitan Statistical Area)",28700.2,2013
"Wichita Falls, TX (Metropolitan Statistical Area)",7708,2013
"Williamsport, PA (Metropolitan Statistical Area)",4942.3,2013
"Wilmington, NC (Metropolitan Statistical Area)",11885.1,2013
"Winchester, VA-WV (Metropolitan Statistical Area)",5697.2,2013
"Winston-Salem, NC (Metropolitan Statistical Area)",25129,2013
"Worcester, MA-CT (Metropolitan Statistical Area)",37400.2,2013
"Yakima, WA (Metropolitan Statistical Area)",8736.9,2013
"York-Hanover, PA (Metropolitan Statistical Area)",17024.7,2013
"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)",18870.5,2013
"Yuba City, CA (Metropolitan Statistical Area)",5222.9,2013
"Yuma, AZ (Metropolitan Statistical Area)",6004.8,2013
