cbsatitle,2013,2014,2015
"Medford, OR (Metropolitan Statistical Area)",6842.1,7203.7,7672.8
"Memphis, TN-MS-AR (Metropolitan Statistical Area)",65875.1,66909.7,69317.9
"Merced, CA (Metropolitan Statistical Area)",7690.9,8175.6,8007.9
"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)",268198.5,292308.5,315623.5
"Michigan City-La Porte, IN (Metropolitan Statistical Area)",3922.3,3902.5,3762.6
"Midland, MI (Metropolitan Statistical Area)",4083.2,4758,5359.1
"Midland, TX (Metropolitan Statistical Area)",33427.8,36931.9,26119
"Milwaukee-Waukesha-West Allis, WI (Metropolitan Statistical Area)",96993.6,100051,99343.2
"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",220938.1,232415.6,242052.7
"Missoula, MT (Metropolitan Statistical Area)",4596.7,4685.1,5044.4
"Mobile, AL (Metropolitan Statistical Area)",17553.3,17966.6,18519.6
"Modesto, CA (Metropolitan Statistical Area)",17189.3,18408.7,19377
"Monroe, LA (Metropolitan Statistical Area)",6692.5,6803.4,7433
"Monroe, MI (Metropolitan Statistical Area)",4526.6,4589.4,4652.5
"Montgomery, AL (Metropolitan Statistical Area)",15994.9,16177.1,16777.8
"Morgantown, WV (Metropolitan Statistical Area)",6757.6,7069.2,7461.1
"Morristown, TN (Metropolitan Statistical Area)",3714.5,3874,4131.1
"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",5516.9,5574.1,6068.1
"Muncie, IN (Metropolitan Statistical Area)",3673.3,3691.8,3761.4
"Muskegon, MI (Metropolitan Statistical Area)",5257.2,5478.6,5639.5
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",14657.6,15277.2,16063.6
"Napa, CA (Metropolitan Statistical Area)",8822.1,9547,10484.5
"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)",13977.1,15283.6,16791.4
"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",101187.8,107931.7,118024.4
"New Bern, NC (Metropolitan Statistical Area)",4722.6,4773.2,4884.5
"New Haven-Milford, CT (Metropolitan Statistical Area)",40896,41161.1,42502.7
"New Orleans-Metairie, LA (Metropolitan Statistical Area)",72810.7,76308.9,78820.2
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",1477043.4,1542763.2,1618365.7
"Niles-Benton Harbor, MI (Metropolitan Statistical Area)",6181.3,6430.1,6601
"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",24475.7,26263.7,28613.5
"Norwich-New London, CT (Metropolitan Statistical Area)",14464.7,14211.6,14995.1
"Ocala, FL (Metropolitan Statistical Area)",7064.8,7476.9,7874.8
"Ocean City, NJ (Metropolitan Statistical Area)",4747.6,4964.2,4962.9
"Odessa, TX (Metropolitan Statistical Area)",11106.3,11857.5,10064.9
"Ogden-Clearfield, UT (Metropolitan Statistical Area)",21647.4,22504.5,24003.4
"Oklahoma City, OK (Metropolitan Statistical Area)",67692.7,69406.3,72253.3
"Olympia-Tumwater, WA (Metropolitan Statistical Area)",10005.4,10290,10908.5
"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",53630.8,57554.2,61444.4
"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",115249,115309.3,123054.4
"Oshkosh-Neenah, WI (Metropolitan Statistical Area)",9007,9323.2,9857.9
"Owensboro, KY (Metropolitan Statistical Area)",5239.8,5359.5,5494.3
"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",47636.6,48733.9,49728.5
"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",18193.5,18620.1,19783.1
"Panama City, FL (Metropolitan Statistical Area)",7604.7,7893.3,8189.5
"Parkersburg-Vienna, WV (Metropolitan Statistical Area)",3898.3,4525,4177.6
"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",15844.1,16029.5,16912.8
"Peoria, IL (Metropolitan Statistical Area)",19767.6,20208.1,19821.2
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",389787.5,400621.4,418605.4
"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)",199870.6,209595.9,221570.1
"Pine Bluff, AR (Metropolitan Statistical Area)",3173.1,3085.9,2953.9
"Pittsburgh, PA (Metropolitan Statistical Area)",126823.6,133690.8,136683.9
"Pittsfield, MA (Metropolitan Statistical Area)",6195.7,6355.7,6685.2
"Pocatello, ID (Metropolitan Statistical Area)",2454.3,2499.3,2602.4
"Portland-South Portland, ME (Metropolitan Statistical Area)",27119.9,28244.2,29647
"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",143129.9,148029.2,156869.3
"Port St. Lucie, FL (Metropolitan Statistical Area)",11618.7,12004.3,12849.2
